Minute,Protocol,Duration,sPackets,rPackets,Type
0,IPV4-TCP,0.052409,16,26,Normal
0,IPV4-TCP,0.499879,10,22,Normal
0,IPV4-TCP,0.478996,42,30,Normal
0,IPV4-TCP,0.499652,16,34,Normal
0,IPV4-TCP,0.499946,12,22,Normal
0,ARP,0.000005,3,0,Normal
0,IPV4-TCP,0.478398,40,30,Normal
0,IPV4-TCP,0.499872,18,20,Normal
0,IPV4-TCP,0.499945,10,20,Normal
0,IPV4-TCP,0.480046,32,24,Normal
0,IPV4-2,0.000001,1,0,Normal
0,IPV4-TCP,0.499978,16,32,Normal
0,IPV4-TCP,0.499807,10,20,Normal
0,IPV4-TCP,0.403521,40,26,Normal
0,IPV4-TCP,0.499784,16,28,Normal
0,IPV4-TCP,0.499736,10,22,Normal
0,IPV4-TCP,0.480147,42,30,Normal
0,IPV4-TCP,0.499682,16,30,Normal
0,IPV4-TCP,0.499921,12,20,Normal
0,IPV4-TCP,0.499888,16,24,Normal
0,IPV4-TCP,0.499803,10,20,Normal
0,IPV4-TCP,0.479981,40,30,Normal
0,IPV4-TCP,0.499611,16,32,Normal
0,IPV4-TCP,0.499922,10,24,Normal
0,IPV4-TCP,0.479679,38,30,Normal
0,IPV4-TCP,0.05033,14,14,Normal
0,IPV4-TCP,0.045002,6,10,Normal
0,IPV4-2,0.002309,4,0,Normal
0,IPV4-TCP,0.479818,32,24,Normal
0,IPV4-2,0.000001,1,0,Normal
0,IPV4-TCP,0.476082,32,56,Normal
0,IPV4-TCP,0.471979,20,40,Normal
0,ARP,0.000004,3,0,Normal
0,IPV4-TCP,0.404022,40,26,Normal
0,IPV4-TCP,0.456586,16,34,Normal
0,IPV4-TCP,0.478997,38,30,Normal
0,IPV4-TCP,0.499978,10,20,Normal
0,ARP,0.000005,3,0,Normal
0,IPV4-TCP,0.479503,32,24,Normal
0,IPV4-TCP,0.052383,16,26,Normal
0,IPV4-TCP,0.499375,10,20,Normal
0,IPV4-TCP,0.40461,40,26,Normal
0,IPV4-TCP,0.499995,16,34,Normal
0,IPV4-TCP,0.499758,12,20,Normal
0,ARP,0.000005,3,0,Normal
0,IPV4-TCP,0.479044,42,30,Normal
0,IPV4-TCP,0.499811,18,20,Normal
0,IPV4-TCP,0.499806,10,20,Normal
0,IPV4-TCP,0.479568,42,30,Normal
0,IPV4-TCP,0.499844,16,32,Normal
0,IPV4-TCP,0.499966,10,20,Normal
0,IPV4-TCP,0.49983,16,22,BAD-MITM
0,IPV4-TCP,0.499898,10,22,BAD-MITM
0,IPV4-TCP,0.47849,40,30,BAD-MITM
0,IPV4-TCP,0.499771,16,32,BAD-MITM
0,IPV4-TCP,0.499967,12,20,BAD-MITM
0,IPV4-TCP,0.479874,32,24,BAD-MITM
0,IPV4-2,0.000001,1,0,BAD-MITM
0,IPV4-TCP,0.499946,16,22,BAD-MITM
0,IPV4-TCP,0.499554,8,20,BAD-MITM
0,IPV4-TCP,0.404777,40,26,BAD-MITM
0,IPV4-TCP,0.0068,14,26,BAD-MITM
0,IPV4-TCP,0.003397,8,14,BAD-MITM
0,IPV4-TCP,0.478808,40,30,BAD-MITM
0,IPV4-TCP,0.499857,18,26,BAD-MITM
0,IPV4-TCP,0.499837,12,24,BAD-MITM
0,IPV4-TCP,0.480594,32,24,BAD-MITM
0,IPV4-TCP,0.008523,14,28,BAD-MITM
0,IPV4-TCP,0.047437,8,10,BAD-MITM
0,IPV4-TCP,0.445823,38,26,BAD-MITM
0,ARP,0.000005,3,0,BAD-MITM
0,IPV4-TCP,0.476104,32,56,BAD-MITM
0,IPV4-TCP,0.470297,20,40,BAD-MITM
0,IPV4-TCP,0.479606,42,30,BAD-MITM
0,IPV4-2,0.000001,1,0,BAD-MITM
0,ARP,0.000005,3,0,BAD-MITM
0,IPV4-TCP,0.479357,42,30,BAD-MITM
0,IPV4-TCP,0.499954,16,22,BAD-MITM
0,IPV4-TCP,0.499808,10,22,BAD-MITM
0,IPV4-TCP,0.479866,42,30,BAD-MITM
0,IPV4-TCP,0.4996,16,32,BAD-MITM
0,IPV4-TCP,0.499814,12,20,BAD-MITM
0,IPV4-UDP,0.000003,3,0,BAD-MITM
0,ARP,0.000005,3,0,BAD-MITM
0,IPV4-TCP,0.499746,18,20,BAD-MITM
0,IPV4-TCP,0.499829,10,20,BAD-MITM
0,IPV4-TCP,0.479059,42,30,BAD-MITM
0,IPV4-TCP,0.007442,14,30,BAD-MITM
0,IPV4-TCP,0.004162,8,16,BAD-MITM
0,ARP,0.263044,12,0,BAD-MITM
0,ARP,0.291186,4,4,BAD-MITM
0,IPV4-TCP,0.479534,42,30,BAD-MITM
0,IPV4-UDP,0.000006,3,0,BAD-MITM
0,IPV4-TCP,0.427148,8,10,BAD-MITM
0,IPV4-TCP,0.479135,40,30,BAD-MITM
0,IPV4-TCP,0.482523,8,10,BAD-MITM
0,IPV4-TCP,0.480231,42,30,BAD-MITM
0,IPV4-TCP,0.004934,10,20,BAD-MITM
0,IPV4-TCP,0.499441,6,12,BAD-MITM
0,IPV4-TCP,0.480091,40,30,BAD-MITM
0,IPV4-TCP,0.471684,10,10,BAD-MITM
0,IPV4-TCP,0.479382,42,30,BAD-MITM
0,IPV4-2,0.002294,4,0,BAD-MITM
0,IPV4-UDP,0.000003,3,0,BAD-MITM
0,IPV4-TCP,0.006563,10,20,BAD-MITM
0,IPV4-TCP,0.409163,6,12,BAD-MITM
0,IPV4-TCP,0.479804,42,30,BAD-MITM
0,ARP,0.00002,3,0,BAD-MITM
0,IPV4-TCP,0.487589,28,54,BAD-MITM
0,ARP,0.246126,2,8,BAD-MITM
0,IPV4-TCP,0.479434,42,30,BAD-MITM
0,ARP,0.055672,6,0,BAD-MITM
0,LLDP,0.000001,1,0,BAD-MITM
0,IPV4-TCP,0.058372,20,38,BAD-MITM
0,IPV4-2,0.000001,1,0,BAD-MITM
0,IPV4-TCP,0.479839,42,30,BAD-MITM
0,ARP,0.000005,3,0,BAD-MITM
0,IPV4-TCP,0.05183,16,26,BAD-MITM
0,IPV4-TCP,0.499737,10,22,BAD-MITM
0,IPV4-TCP,0.479834,42,30,BAD-MITM
0,IPV4-TCP,0.008352,16,32,BAD-MITM
0,IPV4-TCP,0.499727,10,20,BAD-MITM
0,LLDP,0.001185,4,0,BAD-MITM
0,IPV4-TCP,0.008645,16,32,BAD-MITM
0,ARP,0.000005,3,0,BAD-MITM
0,IPV4-TCP,0.49948,10,18,BAD-MITM
0,IPV4-TCP,0.478988,42,30,BAD-MITM
0,IPV4-TCP,0.49988,16,34,BAD-MITM
0,IPV4-TCP,0.49979,12,20,BAD-MITM
0,IPV4-TCP,0.479439,40,30,BAD-MITM
0,IPV4-TCP,0.499265,16,32,BAD-MITM
0,IPV4-TCP,0.004076,8,18,BAD-MITM
0,IPV4-TCP,0.480253,42,30,BAD-MITM
0,IPV4-TCP,0.049268,16,28,BAD-MITM
0,IPV4-TCP,0.004966,10,20,BAD-MITM
0,LLDP,0.000001,1,0,BAD-MITM
0,ARP,0.230523,2,8,BAD-MITM
0,ARP,0.049982,6,0,BAD-MITM
0,IPV4-TCP,0.47919,42,30,BAD-MITM
0,IPV4-TCP,0.463737,6,12,BAD-MITM
0,IPV4-TCP,0.47938,38,30,BAD-MITM
0,IPV4-2,0.000001,1,0,BAD-MITM
0,IPV4-TCP,0.487982,10,10,BAD-MITM
0,IPV4-TCP,0.480087,32,24,BAD-MITM
0,IPV4-TCP,0.048569,10,14,BAD-MITM
0,IPV4-TCP,0.409424,6,12,BAD-MITM
0,IPV4-TCP,0.403929,38,26,BAD-MITM
0,IPV4-2,0.000001,1,0,BAD-MITM
0,IPV4-TCP,0.464064,10,14,BAD-MITM
0,IPV4-TCP,0.480625,42,30,BAD-MITM
0,ARP,0.000006,3,0,BAD-MITM
0,IPV4-TCP,0.005118,10,20,BAD-MITM
0,IPV4-TCP,0.436572,10,16,BAD-MITM
0,IPV4-TCP,0.479595,42,30,BAD-MITM
0,IPV4-TCP,0.466686,22,40,BAD-MITM
0,IPV4-TCP,0.487324,30,58,BAD-MITM
0,ARP,0.000005,3,0,BAD-MITM
0,ARP,0.23976,2,8,BAD-MITM
0,IPV4-TCP,0.479587,42,30,BAD-MITM
0,ARP,0.055716,6,0,BAD-MITM
0,IPV4-TCP,0.499924,16,34,BAD-MITM
0,IPV4-TCP,0.479568,42,30,BAD-MITM
0,IPV4-TCP,0.499469,16,32,BAD-MITM
0,IPV4-TCP,0.004729,10,20,BAD-MITM
0,ARP,0.000005,3,0,BAD-MITM
0,IPV4-TCP,0.480279,42,30,BAD-MITM
0,IPV4-TCP,0.499908,18,32,BAD-MITM
0,IPV4-TCP,0.499993,10,22,BAD-MITM
0,IPV4-TCP,0.499664,16,32,BAD-MITM
0,IPV4-TCP,0.49954,10,18,BAD-MITM
0,IPV4-TCP,0.479978,42,30,BAD-MITM
0,IPV4-TCP,0.499775,16,24,BAD-MITM
0,IPV4-TCP,0.499643,10,20,BAD-MITM
0,IPV4-TCP,0.479267,42,30,BAD-MITM
0,IPV4-TCP,0.008035,14,30,BAD-MITM
0,IPV4-TCP,0.004302,10,18,BAD-MITM
0,IPV4-TCP,0.479328,42,30,BAD-MITM
0,IPV4-TCP,0.05155,16,24,BAD-MITM
0,IPV4-TCP,0.006318,10,20,BAD-MITM
0,ARP,0.226257,2,8,BAD-MITM
0,ARP,0.051171,6,0,BAD-MITM
0,IPV4-TCP,0.479486,42,30,BAD-MITM
0,IPV4-2,0.002611,4,0,BAD-MITM
0,IPV4-TCP,0.465399,6,12,BAD-MITM
0,IPV4-TCP,0.479379,42,30,BAD-MITM
0,IPV4-TCP,0.468713,10,10,BAD-MITM
0,IPV4-TCP,0.479637,42,30,BAD-MITM
0,ARP,0.000005,3,0,BAD-MITM
0,IPV4-TCP,0.005637,10,20,BAD-MITM
0,IPV4-TCP,0.493962,10,18,BAD-MITM
0,IPV4-TCP,0.480261,42,30,BAD-MITM
0,IPV4-TCP,0.448539,12,18,BAD-MITM
0,IPV4-TCP,0.004868,10,20,BAD-MITM
0,IPV4-TCP,0.478942,42,30,BAD-MITM
0,ARP,0.000006,3,0,BAD-MITM
0,IPV4-TCP,0.499944,12,18,BAD-MITM
0,IPV4-TCP,0.005006,10,20,BAD-MITM
0,IPV4-TCP,0.480736,40,30,BAD-MITM
0,IPV4-TCP,0.240796,6,10,BAD-MITM
0,ARP,0.000005,3,0,BAD-MITM
0,ARP,0.231028,2,8,BAD-MITM
0,ARP,0.048006,6,0,BAD-MITM
0,IPV4-TCP,0.479771,42,30,BAD-MITM
0,IPV4-TCP,0.065916,26,50,BAD-MITM
0,IPV4-TCP,0.058892,20,40,BAD-MITM
0,IPV4-2,0.000001,1,0,BAD-MITM
0,IPV4-TCP,0.051348,16,32,BAD-MITM
0,IPV4-TCP,0.499657,10,22,BAD-MITM
0,IPV4-TCP,0.479734,42,30,BAD-MITM
0,IPV4-TCP,0.499982,16,34,BAD-MITM
0,IPV4-TCP,0.499765,10,18,BAD-MITM
0,IPV4-TCP,0.479788,42,30,BAD-MITM
0,IPV4-TCP,0.050548,16,30,BAD-MITM
0,IPV4-TCP,0.004294,10,18,BAD-MITM
0,IPV4-TCP,0.479148,38,30,BAD-MITM
0,IPV4-TCP,0.47612,32,62,BAD-MITM
0,IPV4-TCP,0.468022,20,36,BAD-MITM
0,IPV4-TCP,0.48008,32,24,BAD-MITM
0,IPV4-2,0.000001,1,0,BAD-MITM
0,IPV4-TCP,0.457567,16,34,BAD-MITM
0,IPV4-TCP,0.459225,10,22,BAD-MITM
0,IPV4-TCP,0.40558,40,26,BAD-MITM
0,IPV4-TCP,0.479475,42,30,BAD-MITM
0,ARP,0.005321,0,4,BAD-MITM
0,IPV4-TCP,0.051389,16,24,BAD-MITM
0,IPV4-TCP,0.499981,10,22,BAD-MITM
0,ARP,0.000005,3,0,BAD-MITM
0,IPV4-TCP,0.480406,42,30,BAD-MITM
0,IPV4-TCP,0.499873,16,34,BAD-MITM
0,IPV4-TCP,0.499749,12,20,BAD-MITM
0,IPV4-TCP,0.499293,16,24,BAD-MITM
0,IPV4-TCP,0.49945,8,20,BAD-MITM
0,IPV4-TCP,0.479658,40,30,BAD-MITM
0,ARP,0.000006,3,0,BAD-MITM
0,IPV4-TCP,0.5,18,32,BAD-MITM
0,IPV4-TCP,0.499833,12,22,BAD-MITM
0,IPV4-2,0.000001,1,0,BAD-MITM
0,IPV4-TCP,0.479252,42,30,BAD-MITM
0,IPV4-TCP,0.499664,16,24,BAD-MITM
0,IPV4-TCP,0.499996,10,18,BAD-MITM
0,IPV4-TCP,0.479475,42,30,BAD-MITM
0,ARP,0.000006,3,0,BAD-MITM
0,IPV4-TCP,0.499803,16,32,BAD-MITM
0,IPV4-TCP,0.499629,10,20,BAD-MITM
0,IPV4-TCP,0.480108,40,30,BAD-MITM
0,IPV4-TCP,0.499977,16,34,BAD-MITM
0,IPV4-TCP,0.499739,10,20,BAD-MITM
0,IPV4-TCP,0.480489,42,30,BAD-MITM
0,IPV4-TCP,0.007383,14,28,BAD-MITM
0,IPV4-TCP,0.003487,8,14,BAD-MITM
0,IPV4-TCP,0.476111,32,54,BAD-MITM
0,IPV4-TCP,0.471656,20,40,BAD-MITM
0,IPV4-TCP,0.47931,42,30,BAD-MITM
0,IPV4-TCP,0.478686,40,30,BAD-MITM
0,IPV4-TCP,0.050964,16,24,BAD-MITM
0,IPV4-TCP,0.045709,10,16,BAD-MITM
0,IPV4-2,0.002296,4,0,BAD-MITM
0,IPV4-TCP,0.480523,32,24,BAD-MITM
0,IPV4-TCP,0.499476,16,34,BAD-MITM
0,IPV4-TCP,0.499953,12,22,BAD-MITM
0,IPV4-TCP,0.404058,40,26,BAD-MITM
0,IPV4-TCP,0.499313,16,32,BAD-MITM
0,IPV4-TCP,0.49994,10,20,BAD-MITM
0,IPV4-TCP,0.47887,40,30,BAD-MITM
0,IPV4-TCP,0.499966,18,24,Normal
0,IPV4-TCP,0.499702,10,22,Normal
0,ARP,0.000005,3,0,Normal
0,IPV4-TCP,0.478942,38,30,Normal
0,IPV4-TCP,0.499901,16,32,Normal
0,IPV4-TCP,0.499791,10,16,Normal
0,IPV4-TCP,0.479958,32,24,Normal
0,IPV4-TCP,0.499966,16,34,Normal
0,IPV4-TCP,0.499675,10,20,Normal
0,ARP,0.000005,3,0,Normal
0,IPV4-TCP,0.404266,40,26,Normal
0,IPV4-TCP,0.499847,16,26,Normal
0,IPV4-TCP,0.499688,10,22,Normal
0,IPV4-TCP,0.479166,42,30,Normal
0,IPV4-TCP,0.499632,16,32,Normal
0,IPV4-TCP,0.499841,10,20,Normal
0,ARP,0.000005,3,0,Normal
0,IPV4-2,0.000001,1,0,Normal
0,IPV4-TCP,0.049021,14,18,Normal
0,IPV4-TCP,0.044071,8,10,Normal
0,IPV4-TCP,0.479216,42,30,Normal
0,IPV4-TCP,0.476374,32,64,Normal
0,IPV4-TCP,0.46808,20,34,Normal
0,IPV4-TCP,0.479741,40,30,Normal
0,IPV4-TCP,0.458888,10,22,Normal
0,IPV4-TCP,0.480987,42,30,Normal
0,IPV4-TCP,0.499997,16,34,Normal
0,IPV4-TCP,0.47976,42,30,Normal
0,IPV4-TCP,0.499805,18,32,Normal
0,IPV4-TCP,0.499815,12,22,Normal
0,IPV4-TCP,0.479294,42,30,Normal
0,IPV4-TCP,0.499979,16,32,Normal
0,IPV4-TCP,0.499994,8,20,Normal
0,IPV4-TCP,0.499755,16,34,Normal
0,IPV4-TCP,0.499507,12,24,Normal
0,IPV4-TCP,0.478026,40,30,Normal
0,LLDP,0.000001,1,0,Normal
0,IPV4-TCP,0.499444,14,22,Normal
0,IPV4-TCP,0.49958,8,16,Normal
0,IPV4-2,0.000001,1,0,Normal
1,IPV4-TCP,0.480269,32,24,Normal
1,ARP,0.000005,3,0,Normal
1,IPV4-TCP,0.499974,18,36,Normal
1,IPV4-TCP,0.499894,12,22,Normal
1,IPV4-TCP,0.403503,40,26,Normal
1,IPV4-TCP,0.499937,18,30,Normal
1,IPV4-TCP,0.499945,10,22,Normal
1,IPV4-TCP,0.478962,42,30,Normal
1,ARP,0.000005,3,0,Normal
1,LLDP,0.001671,4,0,Normal
1,IPV4-TCP,0.499962,16,34,Normal
1,IPV4-TCP,0.499968,12,18,Normal
1,IPV4-TCP,0.479826,42,30,Normal
1,IPV4-TCP,0.048203,12,16,Normal
1,IPV4-TCP,0.002728,6,12,Normal
1,ARP,0.000005,3,0,Normal
1,IPV4-TCP,0.479967,42,30,Normal
1,IPV4-2,0.000001,1,0,Normal
1,IPV4-TCP,0.476814,32,52,Normal
1,IPV4-TCP,0.470869,20,32,Normal
1,IPV4-TCP,0.479181,42,30,Normal
1,IPV4-TCP,0.458635,16,34,Normal
1,IPV4-TCP,0.455905,10,22,Normal
1,LLDP,0.000001,1,0,Normal
1,IPV4-TCP,0.479064,42,30,Normal
1,IPV4-TCP,0.499918,16,34,Normal
1,IPV4-TCP,0.005214,10,20,Normal
1,IPV4-TCP,0.4787,40,30,Normal
1,IPV4-TCP,0.499955,18,32,Normal
1,IPV4-TCP,0.499533,10,22,Normal
1,IPV4-2,0.002328,4,0,Normal
1,IPV4-TCP,0.479828,38,30,Normal
1,IPV4-TCP,0.499734,14,32,Normal
1,IPV4-TCP,0.499986,10,16,Normal
1,IPV4-TCP,0.479985,32,24,Normal
1,IPV4-TCP,0.499943,18,26,Normal
1,IPV4-TCP,0.499832,12,24,Normal
1,IPV4-2,0.000001,1,0,Normal
1,IPV4-TCP,0.403325,38,26,Normal
1,IPV4-TCP,0.499532,16,32,Normal
1,IPV4-TCP,0.499878,10,20,Normal
1,ARP,0.000005,3,0,Normal
1,IPV4-TCP,0.479406,42,30,Normal
1,IPV4-TCP,0.499823,18,32,Normal
1,IPV4-TCP,0.499681,12,20,Normal
1,IPV4-2,0.000001,1,0,Normal
1,IPV4-TCP,0.480056,42,30,Normal
1,IPV4-TCP,0.499938,16,24,Normal
1,IPV4-TCP,0.499984,10,16,Normal
1,ARP,0.000005,3,0,Normal
1,IPV4-TCP,0.006718,12,26,Normal
1,IPV4-TCP,0.003209,6,14,Normal
1,IPV4-TCP,0.480634,42,30,Normal
1,IPV4-2,0.000001,1,0,Normal
1,IPV4-TCP,0.476626,32,64,Normal
1,IPV4-TCP,0.469275,20,40,Normal
1,IPV4-TCP,0.479691,42,30,Normal
1,ARP,0.000005,3,0,Normal
1,IPV4-TCP,0.479949,42,30,Normal
1,IPV4-TCP,0.008551,16,32,Normal
1,IPV4-TCP,0.045555,10,16,Normal
1,IPV4-TCP,0.479949,42,30,Normal
1,IPV4-TCP,0.050326,16,30,Normal
1,IPV4-TCP,0.499641,10,22,Normal
1,IPV4-TCP,0.479538,38,30,Normal
1,IPV4-TCP,0.008519,16,32,Normal
1,IPV4-TCP,0.004494,10,18,Normal
1,IPV4-TCP,0.480433,32,24,Normal
1,IPV4-TCP,0.499389,16,34,Normal
1,IPV4-TCP,0.499411,10,22,Normal
1,IPV4-TCP,0.499258,16,30,Normal
1,IPV4-TCP,0.499841,12,14,Normal
1,IPV4-TCP,0.403717,40,26,Normal
1,IPV4-TCP,0.499922,18,32,Normal
1,IPV4-TCP,0.499934,10,22,Normal
1,IPV4-TCP,0.479405,42,30,Normal
1,IPV4-TCP,0.499788,16,32,Normal
1,IPV4-TCP,0.499648,10,20,Normal
1,IPV4-TCP,0.478208,40,30,Normal
1,ARP,0.000005,3,0,Normal
1,IPV4-TCP,0.499593,14,22,Normal
1,IPV4-TCP,0.499331,8,18,Normal
1,IPV4-TCP,0.480908,32,24,Normal
1,IPV4-TCP,0.00825,16,30,Normal
1,IPV4-TCP,0.004654,10,18,Normal
1,IPV4-TCP,0.4034,38,26,Normal
1,ARP,0.000005,3,0,Normal
1,IPV4-TCP,0.010703,16,32,Normal
1,IPV4-TCP,0.006149,10,20,Normal
1,IPV4-TCP,0.479457,38,30,Normal
1,IPV4-TCP,0.476334,32,58,Normal
1,IPV4-TCP,0.47005,20,40,Normal
1,IPV4-TCP,0.480842,32,24,Normal
1,ARP,0.000005,3,0,Normal
1,IPV4-TCP,0.404116,40,26,Normal
1,IPV4-TCP,0.050889,16,24,Normal
1,IPV4-TCP,0.005098,10,20,Normal
1,IPV4-TCP,0.479511,42,30,Normal
1,IPV4-TCP,0.009354,16,32,Normal
1,IPV4-TCP,0.004861,10,20,Normal
1,IPV4-TCP,0.479069,42,30,BAD-MISCONF
1,IPV4-TCP,0.499959,16,32,BAD-MISCONF
1,IPV4-TCP,0.499734,14,28,BAD-MISCONF
1,IPV4-UDP,0.000006,3,0,Normal
1,IPV4-TCP,0.490691,32,52,BAD-MISCONF
1,IPV4-TCP,0.486224,16,32,BAD-MISCONF
1,IPV4-TCP,0.479267,42,30,BAD-MISCONF
1,IPV4-2,0.002261,4,0,BAD-MISCONF
1,IPV4-TCP,0.47473,16,34,BAD-MISCONF
1,ARP,0.005115,6,0,BAD-MISCONF
1,IPV4-TCP,0.479724,42,30,BAD-MISCONF
1,IPV4-TCP,0.004916,10,20,BAD-MISCONF
1,IPV4-2,0.000001,1,0,BAD-MISCONF
1,IPV4-TCP,0.479128,42,30,BAD-MISCONF
1,IPV4-TCP,0.491736,32,54,BAD-MISCONF
1,IPV4-TCP,0.487799,20,34,BAD-MISCONF
1,IPV4-TCP,0.478511,42,30,BAD-MISCONF
1,IPV4-2,0.000001,1,0,BAD-MISCONF
1,IPV4-TCP,0.459286,10,22,BAD-MISCONF
1,ARP,0.000006,3,0,BAD-MISCONF
1,IPV4-TCP,0.479368,40,30,BAD-MISCONF
1,IPV4-TCP,0.050746,16,24,BAD-MISCONF
1,IPV4-TCP,0.463059,32,62,BAD-MISCONF
1,IPV4-TCP,0.459666,20,40,BAD-MISCONF
1,IPV4-TCP,0.47944,42,30,BAD-MISCONF
1,ARP,0.000005,3,0,BAD-MISCONF
1,IPV4-TCP,0.458563,16,34,BAD-MISCONF
1,IPV4-TCP,0.478786,38,30,BAD-MISCONF
1,IPV4-TCP,0.045083,10,16,BAD-MISCONF
1,ARP,0.000005,3,0,BAD-MISCONF
1,IPV4-TCP,0.480558,32,24,BAD-MISCONF
1,IPV4-2,0.000001,1,0,BAD-MISCONF
1,IPV4-TCP,0.492499,32,62,BAD-MISCONF
1,IPV4-TCP,0.488203,20,40,BAD-MISCONF
1,IPV4-TCP,0.40333,40,26,BAD-MISCONF
1,IPV4-TCP,0.479537,42,30,BAD-MISCONF
1,IPV4-TCP,0.050726,16,32,BAD-MISCONF
1,IPV4-TCP,0.045857,10,16,BAD-MISCONF
1,IPV4-TCP,0.477916,40,30,BAD-MISCONF
1,IPV4-TCP,0.009076,16,32,BAD-MISCONF
1,IPV4-TCP,0.00531,10,20,BAD-MISCONF
1,IPV4-TCP,0.480357,32,24,BAD-MISCONF
1,IPV4-TCP,0.4921,32,60,BAD-MISCONF
1,IPV4-TCP,0.488128,20,40,BAD-MISCONF
1,IPV4-TCP,0.404311,40,26,BAD-MISCONF
1,IPV4-TCP,0.458089,16,34,BAD-MISCONF
1,IPV4-TCP,0.479439,42,30,BAD-MISCONF
1,IPV4-TCP,0.045817,10,16,BAD-MISCONF
1,IPV4-2,0.000001,1,0,BAD-MISCONF
1,IPV4-TCP,0.009146,16,32,BAD-MISCONF
1,IPV4-TCP,0.005269,10,20,BAD-MISCONF
1,IPV4-TCP,0.477838,40,30,BAD-MISCONF
1,ARP,0.000005,3,0,BAD-MISCONF
1,IPV4-TCP,0.009965,16,32,BAD-MISCONF
1,IPV4-TCP,0.005852,10,20,BAD-MISCONF
1,IPV4-TCP,0.479785,32,24,BAD-MISCONF
1,IPV4-TCP,0.053142,16,20,BAD-MISCONF
1,IPV4-TCP,0.046845,10,18,BAD-MISCONF
1,IPV4-TCP,0.405393,40,26,BAD-MISCONF
1,ARP,0.000005,3,0,BAD-MISCONF
1,IPV4-TCP,0.493447,32,52,BAD-MISCONF
1,IPV4-TCP,0.489796,20,40,BAD-MISCONF
1,IPV4-TCP,0.47919,40,30,BAD-MISCONF
1,IPV4-TCP,0.478944,16,34,BAD-MISCONF
1,IPV4-TCP,0.479093,42,30,BAD-MISCONF
1,ARP,0.000005,3,0,BAD-MISCONF
1,IPV4-TCP,0.452055,20,40,BAD-MISCONF
1,IPV4-TCP,0.479172,42,30,BAD-MISCONF
1,IPV4-TCP,0.499993,16,34,BAD-MISCONF
1,IPV4-TCP,0.479587,42,30,BAD-MISCONF
1,IPV4-TCP,0.499416,16,30,BAD-MISCONF
1,IPV4-TCP,0.005077,10,20,BAD-MISCONF
1,IPV4-TCP,0.499774,18,32,BAD-MISCONF
1,IPV4-TCP,0.4999,12,22,BAD-MISCONF
1,IPV4-TCP,0.478912,42,30,BAD-MISCONF
1,IPV4-TCP,0.499967,16,24,BAD-MISCONF
1,IPV4-TCP,0.499876,8,16,BAD-MISCONF
1,IPV4-UDP,0.000003,3,0,BAD-MISCONF
1,IPV4-TCP,0.479398,42,30,BAD-MISCONF
1,IPV4-TCP,0.00773,14,30,BAD-MISCONF
1,IPV4-TCP,0.004595,10,18,BAD-MISCONF
1,IPV4-2,0.000001,1,0,BAD-MISCONF
